episodes,sum_agent_wins,sum_adver_wins,sum_agent_exceed_screen,sum_adver_exceed_screen,sum_agent_number_of_team_collisions,sum_agent_number_of_oppo_collisions,sum_adver_number_of_team_collisions,sum_adver_number_of_oppo_collisions,avg_agent_number_of_team_collisions,avg_agent_number_of_oppo_collisions,avg_adver_number_of_team_collisions,avg_adver_number_of_oppo_collisions,avg_agent_actor_loss,avg_agent_critic_loss,avg_adver_actor_loss,avg_adver_critic_loss,avg_agent_actor_grad_norm,avg_agent_critic_grad_norm,avg_adver_actor_grad_norm,avg_adver_critic_grad_norm,avg_agent_policy_ratio_list,avg_adver_policy_ratio_list
1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,-10.675045662056654,555.5468118166923,-12.345527426451445,643.8009858989716,143.41100547492505,3685.5866068184378,122.40206016153097,6307.703961281479,89.98359684407711,91.49686450898648
2,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,-7.8292035610415045,38.703284567222,-10.679139405945316,61.02431259967387,117.97327031165361,128.828394363448,79.13727782815695,176.8945402868837,90.79164555847645,86.56042053103447
3,0,0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,-8.143699956107884,77.28683138936758,-10.774815377779305,17.815078595429657,89.72914114937186,46.00590188551694,71.82610133737326,57.30004102681298,92.96768358290196,93.370995464921
4,0,0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,-11.33576864309609,126.3921337416768,-13.726026071384549,104.81594094365835,83.19112266272306,57.71934417976067,69.82417707651854,62.67795989356935,93.74330585718155,90.73633701622487
5,0,0,1,4,0,0,0,0,0.0,0.0,0.0,0.0,-8.509683705344797,84.89929340660572,-10.342179961055518,40.30877108991146,83.4503679394722,77.10725320905448,65.54592880755663,41.91883720946033,94.77169217169285,92.11744339466095
6,0,0,1,5,0,0,0,0,0.0,0.0,0.0,0.0,-8.24438486531377,108.3588672977686,-6.814028583578765,62.05468513816595,66.06482670903206,72.6717625970766,53.66734244391322,73.42100087620318,94.88472613334656,95.47248089313507
7,0,0,2,5,0,0,0,0,0.0,0.0,0.0,0.0,-9.358429949469864,180.63780148535966,-10.348129941523075,50.88795324087143,63.97995048597455,69.29141979454376,60.24064121454954,56.506161769330504,93.4835088711977,94.30014587640763
8,0,0,3,5,0,0,0,0,0.0,0.0,0.0,0.0,-12.143633465077729,115.40057429730892,-4.968980558998883,29.47833563506603,60.73014510512352,43.44592738294509,68.27649695068598,46.925801328271625,90.10875420153141,95.47550670027732
9,0,0,3,6,0,0,0,0,0.0,0.0,0.0,0.0,-11.610680837444962,42.13753521129489,-6.341984944045544,13.746352582685649,79.49765656381845,32.229504657909274,64.4149470603466,28.086626891493797,92.42159522652626,93.35546952605247
10,0,0,3,7,0,0,0,0,0.0,0.0,0.0,0.0,-10.662398083787412,64.20473329007626,-7.095887354500592,15.15432894140482,57.66248389884829,31.183511262871324,56.07516972988844,29.01974133037031,95.7233908122778,95.56156112015248
11,0,0,3,8,0,0,0,0,0.0,0.0,0.0,0.0,-8.486173698715866,32.83471583470702,-9.616451390376314,9.385260505825281,71.09405307590961,25.652340705655515,56.45566753655672,31.767512746602296,94.11817899286747,94.15889007151127
12,0,0,3,9,0,0,0,0,0.0,0.0,0.0,0.0,-8.105253640636802,30.06958907842636,-8.815280972737819,68.42804444000124,77.67103519573807,28.477798762321473,66.24713493049144,11.377838157862424,93.21100990056992,93.12469583511353
13,0,0,4,9,0,0,0,0,0.0,0.0,0.0,0.0,-10.106464897673577,22.007340155243874,-8.369745586346834,6.841028191000223,60.37950173929334,31.914059744514525,60.5460019364953,8.372595656383783,94.22251991450787,93.68048420846462
14,0,0,4,10,0,0,0,0,0.0,0.0,0.0,0.0,-10.161357031743973,15.028217384181916,-8.866248947326094,22.980878568142654,74.96316155433655,27.919263704214245,51.476813947558405,14.263603942580522,93.45590396463871,95.08889900505542
15,0,0,5,10,0,0,0,0,0.0,0.0,0.0,0.0,-9.62126495392993,33.14362458221614,-6.185947158541531,13.450412339568139,66.84307147592307,32.15068654172123,51.36993695139885,11.548981280699373,94.39540161073208,96.12305417120457
16,0,0,5,11,0,0,0,0,0.0,0.0,0.0,0.0,-11.207885428443552,41.86535339295864,-6.5156280604936185,8.837322125770152,56.66634266987443,33.041619266793134,53.93245006397367,10.735557758286596,94.35774306833744,96.38936679840089
